size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
30B,5,18,"(10242,)",0.024574964255490023,0.03269855992901074,0.02662987880813446,-0.15521449892229833,0.13338368878959495,0,0,0.0,0.8810779144698301,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer18/base_subj5_corrlh.npy
30B,6,18,"(10242,)",0.0051411363288449445,0.005622000831492172,0.008789271101056498,-0.08673074108776499,0.09434330114125487,0,0,0.0,0.8954305799648506,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer18/base_subj6_corrlh.npy
30B,7,18,"(10242,)",0.049881636270069675,0.05278321371530596,0.013317116159613914,-0.07794423983925432,0.11351604844544722,0,0,0.0,0.9786174575278266,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer18/base_subj7_corrlh.npy
30B,8,18,"(10242,)",0.1932127956917642,0.21006529557993,0.0644613572550242,-0.24395005828105543,0.257794589202056,0,0,0.0,0.961335676625659,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer18/base_subj8_corrlh.npy
30B,4,19,"(10242,)",0.1196167491939992,0.12984369693131836,0.034793073807497445,-0.1701535243737496,0.17446713061523156,0,0,0.0,0.9729545010740089,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer19/base_subj4_corrlh.npy
30B,5,19,"(10242,)",0.054120369839498264,0.06127119288003189,0.029682651765056932,-0.18045070343727881,0.1308281418830631,0,0,0.0,0.9400507713337238,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer19/base_subj5_corrlh.npy
30B,6,19,"(10242,)",-0.005858728910916045,-0.006697587499199634,0.009025846516915991,-0.12110516989504942,0.1040187327081683,0,0,0.0,0.08777582503417301,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer19/base_subj6_corrlh.npy
30B,7,19,"(10242,)",0.09509378641677765,0.10069960617460164,0.025415952177499278,-0.18146947460873125,0.176778487343011,0,0,0.0,0.9798867408709236,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer19/base_subj7_corrlh.npy
30B,8,19,"(10242,)",0.12838542998657215,0.14156075127330991,0.048261531485576936,-0.1725563560456186,0.18707410734908497,0,0,0.0,0.9574301894161297,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer19/base_subj8_corrlh.npy
30B,4,2,"(10242,)",0.05544459823384667,0.05903867399450223,0.017285817690208333,-0.10375621241625843,0.14121035438519156,0,0,0.0,0.9749072446787737,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer2/base_subj4_corrlh.npy
30B,5,2,"(10242,)",0.08898936509923307,0.10199307372902686,0.039845434001390546,-0.16110675439714106,0.16528783857053655,0,0,0.0,0.9402460456942003,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer2/base_subj5_corrlh.npy
30B,6,2,"(10242,)",0.017731119027289435,0.018562905567484113,0.011245371625022623,-0.10420735522091362,0.19135754631290863,0,0,0.0,0.9577231009568443,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer2/base_subj6_corrlh.npy
30B,7,2,"(10242,)",0.05088015711437772,0.055415306943775465,0.022955893698987147,-0.13523826630434577,0.14150261632327849,0,0,0.0,0.9603593048232767,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer2/base_subj7_corrlh.npy
30B,8,2,"(10242,)",0.23871776812351575,0.2616532725394641,0.0816731060557912,-0.2919094834653415,0.29556682743535284,0,0,0.0,0.9614333138058972,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer2/base_subj8_corrlh.npy
30B,4,20,"(10242,)",0.041815143521371355,0.044991631795704416,0.014452767221845606,-0.11667215748103958,0.12210066630544658,0,0,0.0,0.9722710408123414,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/30B/base/layer20/base_subj4_corrlh.npy
