size,layer,n_subjects,mean_r,median_r,std_between_subjects,avg_zero_ratio,avg_positive_ratio,nan_total,inf_total
65B,60,5,0.07779741650080299,0.08482941025342465,0.06647986211011205,0.0,0.7823667252489748,0,0
65B,61,5,0.038870700260726775,0.04366354917994546,0.05060628440286148,0.0,0.7530755711775043,0,0
65B,62,5,0.0754904704208851,0.08333614378955047,0.07785922038452049,0.0,0.9484085139621168,0,0
65B,63,5,0.05184953440285763,0.0569143899799477,0.04925129832470908,0.0,0.7800820152314001,0,0
65B,64,5,0.0784801801322433,0.08387671205218464,0.047539305745135756,0.0,0.9615895332942784,0,0
65B,65,5,0.0864897498856791,0.09292039322951848,0.03838252291513389,0.0,0.9696738918180042,0,0
65B,66,5,0.05139387572102151,0.05485481687322502,0.060291631275109926,0.0,0.7767623511033002,0,0
65B,67,5,0.05551026894057123,0.061172992102838594,0.054499448187542106,0.0,0.7699863307947666,0,0
65B,68,5,0.0715078642292369,0.07819730715731489,0.07380329911899841,0.0,0.773227885178676,0,0
65B,69,5,0.06448885506436142,0.07033291535699411,0.06704506912525711,0.0,0.7624096856082796,0,0
65B,70,5,0.04146931090807611,0.043781140347056886,0.06137674465722302,0.0,0.639992189025581,0,0
65B,71,5,0.08160347021013376,0.09030092015080297,0.06100210831929899,0.0,0.9579379027533685,0,0
65B,72,5,0.10490767990513157,0.11522207945457578,0.08385258344246041,0.0,0.8011911735989065,0,0
65B,73,5,0.0843471624330405,0.09271146318686263,0.051427679236419846,0.0,0.9572349150556532,0,0
65B,74,5,0.05653056488563087,0.060809485849234804,0.0671939930259231,0.0,0.8008592071860965,0,0
65B,75,5,0.0829363990625764,0.0902139493408527,0.0603225716883884,0.0,0.890822105057606,0,0
65B,76,5,0.0800220906434603,0.0881956598606544,0.07351057606213102,0.0,0.9582503417301309,0,0
65B,77,5,0.07147604871857965,0.07989356997151023,0.051305206233065,0.0,0.9416910759617263,0,0
65B,78,5,0.07356206806385594,0.08116086976171064,0.07909052757777454,0.0,0.7758445616090608,0,0
65B,79,5,0.07881838647013992,0.08698777162279941,0.04293759080343325,0.0,0.9609451279047061,0,0
7B,0,5,0.09137203029317832,0.09962933774767233,0.06145870146827635,0.0,0.9631126733059949,0,0
7B,1,5,0.09886219870741539,0.10689406978763993,0.08433756360000864,0.0,0.9647334504979497,0,0
7B,2,5,0.10866717257586797,0.11803109910838774,0.0723234563257995,0.0,0.9665690294864284,0,0
7B,3,5,0.1077869119496759,0.11776573718558422,0.07616140945696415,0.0,0.9653388010154267,0,0
7B,4,5,0.10132068964038658,0.11225705874951326,0.0726450114022582,0.0,0.9581527045498927,0,0
7B,5,5,0.04769953061669878,0.05276111566623011,0.04407641904095249,0.0,0.9374145674672916,0,0
7B,6,5,0.09450936715229517,0.10483525245847562,0.07554313246595629,0.0,0.7728763913298183,0,0
7B,7,5,0.1158610768533127,0.12681268067530227,0.06394531369911251,0.0,0.9588752196836555,0,0
7B,8,5,0.07875672302960646,0.08640195486223959,0.0672164348674673,0.0,0.780863112673306,0,0
7B,9,5,0.08627290627974284,0.09394484840511845,0.04205810926557694,0.0,0.9606522163639915,0,0
7B,10,5,0.08780083668308607,0.09660035127864244,0.0765825798743333,0.0,0.7801991798476859,0,0
7B,11,5,0.08943836118283324,0.09891330853254074,0.07456662692201689,0.0,0.7756297598125366,0,0
7B,12,5,0.07202233127782473,0.07975715530138909,0.04775414945574695,0.0,0.959070494044132,0,0
7B,13,5,0.039984905423890424,0.044311603599195414,0.06865191833406405,0.0,0.7657879320445226,0,0
7B,14,5,0.09812947536406974,0.10607198830144209,0.053925940936732,0.0,0.9677797305213826,0,0
7B,15,5,0.0888566847830742,0.097499689193661,0.07721373904922987,0.0,0.7792813903534466,0,0
7B,16,5,0.08968893455517175,0.09660162762427507,0.07007937568774454,0.0,0.8237453622339388,0,0
7B,17,5,0.07133010041202717,0.07881755248826525,0.0740506400863777,0.0,0.7691466510447178,0,0
7B,18,5,0.08698628817584378,0.0938052943676897,0.08600571369351322,0.0,0.8435657098223004,0,0
7B,19,5,0.09320986113329109,0.10271760277884485,0.07477159945412411,0.0,0.7873852763132201,0,0
7B,20,5,0.08035217117348356,0.08923319590220602,0.08150564259140945,0.0,0.9367506346416716,0,0
7B,21,5,0.06637208074646261,0.07484862301631771,0.04347064885305489,0.0,0.9403632103104862,0,0
7B,22,5,0.08830513201333366,0.09564774163463903,0.06441153894254656,0.0,0.9637180238234719,0,0
7B,23,5,0.04908306514827352,0.05571519901456543,0.06590879682206313,0.0,0.5982034758836166,0,0
7B,24,5,0.03597690182840154,0.038451978638678705,0.03253721898059519,0.0,0.9473149775434486,0,0
7B,25,5,0.07285809620155745,0.07964768717339579,0.07405322387356698,0.0,0.7870923647725053,0,0
7B,26,5,0.06078248614569948,0.06628370024926329,0.0576525407203093,0.0,0.7824253075571177,0,0
7B,27,5,0.05408747202883666,0.05851199155628535,0.05585210421840115,0.0,0.8124780316344463,0,0
7B,28,5,0.08006884995484413,0.08903914780620384,0.09448675809924822,0.0,0.7737355985159149,0,0
7B,29,5,0.04685004402773901,0.05081354694756231,0.04687440934355342,0.0,0.9343682874438587,0,0
7B,30,5,0.0839074706601057,0.09168162193513622,0.06364200430935296,0.0,0.9582893966022261,0,0
7B,31,5,0.09932402583173197,0.10777429068974162,0.06600617764112708,0.0,0.9387619605545792,0,0
